CA408	3	***
CA409	2	**
CA410	3	***
CA411	4	****
CA412	4	****
CA413	4	****
CA414	5	*****
CA415	6	******
CA416	8	********
CA417	7	*******
CA418	9	*********
CA419	10	**********
CA420	11	***********
CA421	8	********
CA422	10	**********
CA423	9	*********
CA424	5	*****
CA425	6	******
CA426	7	*******
CA427	6	******
CA428	7	*******
CA429	9	*********
CA430	8	********
CA431	9	*********
CA432	0	
CA433	1	*
CA434	1	*
CA435	3	***
CA436	4	****
CA437	2	**
CA438	4	****
CA439	3	***
CA440	4	****
CA441	0	
CA442	1	*
CA443	4	****
CA444	3	***
CA445	2	**
CA446	3	***
CA447	3	***
CA448	5	*****
CA449	4	****
CA450	6	******
CA451	6	******
CA452	5	*****
CA453	8	********
CA454	7	*******
CA455	6	******
CA456	5	*****
CA457	8	********
CA458	7	*******
CA459	6	******
CA460	4	****
CA461	6	******
CA462	5	*****
CA463	8	********
CA464	7	*******
CA465	6	******
CA466	5	*****
CA467	6	******
CA468	4	****
CA469	6	******
CA470	5	*****
CA471	8	********
CA472	7	*******
CA473	6	******
CA474	5	*****
CA475	6	******
CA476	4	****
CA477	6	******
CA478	5	*****
CA479	8	********
CA480	7	*******
CA481	6	******
CA482	5	*****
CA483	6	******
CA484	4	****
CA485	6	******
CA486	5	*****
CA487	8	********
CA488	7	*******
CA489	6	******
CA490	5	*****
CA491	6	******
CA492	4	****
CA493	6	******
CA494	5	*****
CA495	8	********
CA496	7	*******
CA497	6	******
CA498	5	*****
CA499	6	******
CA500	4	****
CA501	6	******
CA502	5	*****
CA503	9	*********
CA504	8	********
CA505	7	*******
CA506	6	******
CA507	5	*****
CA508	6	******
CA509	7	*******
CA510	4	****
CA511	6	******
CA512	5	*****
CA513	8	********
CA514	7	*******
CA515	6	******
CA516	5	*****
CA517	6	******
CA518	4	****
CA519	6	******
CA520	6	******
CA521	7	*******
CA522	8	********
CA523	9	*********
CA524	5	*****
CA525	8	********
CA526	7	*******
CA527	6	******
CA528	5	*****
CA529	6	******
CA530	4	****
CA531	4	****
CA532	0	
CA533	2	**
CA534	4	****
CA535	3	***
CA536	1	*
CA537	3	***
CA538	2	**
CA539	3	***
CA540	1	*
CA541	3	***
CA542	5	*****
CA543	4	****
CA544	2	**
CA545	5	*****
CA546	4	****
CA547	5	*****
CA548	3	***
CA549	5	*****
CA550	4	****
CA551	1	*
CA552	2	**
CA553	3	***
CA554	1	*
CA555	3	***
CA556	2	**
CA557	1	*
CA558	3	***
CA559	6	******
CA560	5	*****
CA561	4	****
CA562	5	*****
CA563	2	**
CA564	0	
CA565	1	*
CA566	3	***
CA567	2	**
CA568	2	**
CA569	2	**
CA570	2	**
CA571	3	***
CA572	4	****
CA573	2	**
CA574	3	***
CA575	7	*******
CA576	6	******
CA577	5	*****
CA578	6	******
CA579	8	********
CA580	7	*******
CA581	9	*********
CA582	8	********
CA583	9	*********
CA584	10	**********
CA585	6	******
CA586	9	*********
CA587	8	********
CA588	7	*******
CA589	4	****
CA590	6	******
CA591	9	*********
CA592	11	***********
CA593	10	**********
CA594	8	********
CA595	10	**********
CA596	9	*********
CA597	7	*******
CA598	8	********
CA599	9	*********
CA600	11	***********
CA601	13	*************
CA602	12	************
CA603	10	**********
CA604	11	***********
